"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Problem: which element is not a common component of biological macromolecules?</b><br /><br />&nbsp;&nbsp;&nbsp;&nbsp;Carbon<br />&nbsp;&nbsp;&nbsp;&nbsp;Nitrogen<br />&nbsp;&nbsp;&nbsp;&nbsp;Oxygen<br />&nbsp;&nbsp;&nbsp;&nbsp;Helium<br />&nbsp;&nbsp;&nbsp;&nbsp;Hydrogen</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Helium</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Problem: </b>One tube contains bacterial cells, one contains yeast cells, one contains human cells and the last contains insect cells. Can you identify the cells from each tube if you are given a light microscope?</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; "">- The prokaryotic bacteria would not have a nucleus, the other cell types would. <br /><br /><br />- The yeast cell wall would distinguish yeast (plant) cells from human and insect (animal) cells. <br /><br /><br />- Distinguishing human and insect cells with a simple microscope may not be possible, as the two are very similar.</span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Bacterial Cell Structure - Internal</b><br /><br /><img src=""pasteBqbpJg.png"" /><br /><br />___: <b>DNA</b> in the bacterial cell is generally confined to this central region. Though it <b>isn't bounded by a membrane</b>, it is visibly distinct from the rest of the cell interior.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>nucleoid</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Bacterial Cell Structure - Surface<br /></b><br /><img src=""Selection_162.png"" /><br /><br />___: <b>Protects the bacterial cell</b> and is often associated with pathogenic bacteria because it serves as a barrier against phagocytosis by white blood cells.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>capsule</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><img src=""Selection_163.png"" /><br /><br /><br />___ provide the energy a cell needs to move, divide, produce secretory products, contract - in short, they are the <b>power centers of the cell. </b><br /><br /><br />Are membrane-bound organelles, and like the nucleus have a <b>double membrane</b>. The outer membrane is fairly smooth. But the <b>inner membrane</b> is highly convoluted, forming <b>folds (cristae)</b> as seen in the cross-section, above. <br /><br />It is <b>on these cristae that food (sugar) is combined with oxygen to produce ATP - the primary energy source for the cell.</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>mitochondrion / mitochondria</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure<br /></b><br /><img src=""pasteeZFElw.png"" /><br /><br />___ are membrane-bound packets of <b>oxidative enzymes. </b><br /><br />In <b>plant cells</b>, they play a variety of roles including <b>converting fatty acids to sugar and assisting chloroplasts in photorespiration. </b><br /><br />In animal cells, they <b>protect the cell from its own production of toxic hydrogen peroxide</b>.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>peroxisomes</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure</b><br /><br><img src=""Selection_165.png"" /><br /><br />___ contain <b>hydrolytic enzymes necessary for intracellular digestion</b>. <br /><br />They are common in animal cells, but <b>rare in plant cells</b>. Hydrolytic enzymes of plant cells are more often found in the vacuole.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>lysosomes</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Bacterial Cell Structure - Appendages</b><br /><br /><img src=""pasteW4ew_w.png"" /><br /><br />___: Allow bacteria to <b>attach to other cells</b>. A specialized one, the sex ___, allows the <b>transfer of plasmid DNA</b> from one bacterial cell to another. They are also called <b>fimbriae (sing., fimbria).</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>pilus / pili</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure</b><br /><br /><img src=""pastefX3kem.png"" /> <br /><br />As its name implies, the ___ helps to maintain <b>cell shape</b>. The internal <b>movement of cell organelles</b>, as well as <b>cell locomotion and muscle fiber contraction</b> could not take place without it. It is an organized network of three primary <b>protein filaments:</b><br /><br /><b>&nbsp;&nbsp;&nbsp;&nbsp;- microtubules</b><br /><b>&nbsp;&nbsp;&nbsp;&nbsp;- actin filaments (microfilaments)</b><br /><b>&nbsp;&nbsp;&nbsp;&nbsp;- intermediate fibers</b></span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>cytoskeleton<br /></b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure</b><br /><br /><img src=""pasteOCeMS9.png"" /> <img src=""pasteBX7pgo.png"" /><br /><br />The ___, or <b>MICROTUBULE ORGANIZING CENTER (MTOC)</b>, is an area in the cell where <b>microtubules are produced</b>. <br /><br />Plant and animal cell centrosomes play similar roles in cell division, and both include collections of microtubules, but the <b>plant cell one is simpler and does not have centrioles</b>.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>centrosome</b></span></span>"
"<p align=center><span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Animal/Plant Cell Structure</b><br /><br /><img src=""pastezfg2B0.png"" /><br /><br />The ___ <b>apparatus</b> is a stack of <b>membrane-bound</b> <b>vesicles that are important in packaging macromolecules (</b>enzymatic or hormonal contents of lysosomes, peroxisomes and secretory vesicles) <b>for transport elsewhere in the cell</b>.</span></span>"	"<span style="" font-size: 20px; ""><span style=""font-size: 25px; ""><b>Golgi </b></span></span>"
