Key of C<div>I</div>	<div>Key of C</div>C
<div>Key of C</div>C	Key of C<div>I</div>
Key of C<div>ii</div>	Key of C<div>Dm</div>
Key of C<div>Dm</div>	Key of C<div>ii</div>
Key of C<div>iii</div>	Key of C<div>Em</div>
Key of C<div>Em</div>	Key of C<div>iii</div>
Key of C<div>IV</div>	Key of C<div>F</div>
Key of C<div>F</div>	Key of C<div>IV</div>
Key of C<div>V</div>	Key of C<div>G</div>
Key of C<div>G</div>	Key of C<div>V</div>
Key of C<div>vi</div>	Key of C<div>Am</div>
Key of C<div>Am</div>	Key of C<div>vi</div>
Key of F<div>I</div>	Key of F<div>F</div>
Key of F<div>F</div>	Key of F<div>I</div>
Key of F<div>ii</div>	Key of F<div>Gm</div>
Key of F<div>Gm</div>	Key of F<div>ii</div>
Key of F<div>iii</div>	Key of F<div>Am</div>
Key of F<div>Am</div>	Key of F<div>iii</div>
Key of F<div>IV</div>	Key of F<div>Bb</div>
Key of F<div>Bb</div>	Key of F<div>IV</div>
Key of F<div>V</div>	Key of F<div>C</div>
Key of F<div>C</div>	Key of F<div>V</div>
Key of F<div>vi</div>	Key of F<div>Dm</div>
Key of F<div>Dm</div>	Key of F<div>vi</div>
Key of Bb<div>I</div>	Key of Bb<div>Bb</div>
Key of Bb<div>Bb</div>	Key of Bb<div>I</div>
Key of Bb<div>ii</div>	Key of Bb<div>Cm</div>
Key of Bb<div>Cm</div>	Key of Bb<div>ii</div>
Key of Bb<div>iii</div>	Key of Bb<div>Dm</div>
Key of Bb<div>Dm</div>	Key of Bb<div>iii</div>
Key of Bb<div>IV</div>	Key of Bb<div>Eb</div>
Key of Bb<div>Eb</div>	Key of Bb<div>IV</div>
Key of Bb<div>V</div>	Key of Bb<div>F</div>
Key of Bb<div>F</div>	Key of Bb<div>V</div>
Key of Bb<div>vi</div>	Key of Bb<div>Gm</div>
Key of Bb<div>Gm</div>	Key of Bb<div>vi</div>
Key of Eb<div>I</div>	Key of Eb<div>Eb</div>
Key of Eb<div>Eb</div>	Key of Eb<div>I</div>
Key of Eb<div>ii</div>	Key of Eb<div>Fm</div>
Key of Eb<div>Fm</div>	Key of Eb<div>ii</div>
Key of Eb<div>iii</div>	Key of Eb<div>Gm</div>
Key of Eb<div>Gm</div>	Key of Eb<div>iii</div>
Key of Eb<div>IV</div>	Key of Eb<div>Ab</div>
